110CLL	1228CLL	NC11_35	NC15_63	NC15_67
AC112693.3	85.1888	114.443	82.1524	70.2328	44.3865
AC112694.2	0	0	0	0	0
AC112715.1	0	0	0	0	0
AC112719.2	0	0	0	0	0
AC112722.1	0	0.01976	2.2335	0.80019	1.01504
AC112771.1	0	0	0	0	0
AC112777.1	0	0	0	0	0
AC112907.1	0	0	0	0	0
AC112907.2	0	0	0	0	0
AC113133.1	0.55404	8.07196	26.46826	48.69956	70.43932
AC113139.1	0.13608	0.75088	0	0	0
AC113143.2	0	0	0	0	0
AC113146.1	5.70869	14.11333	5.80289	8.34066	15.9088
AC113167.1	3.87102	0.84474	0.23884	1.71114	0.59536
AC113174.1	0	0	0	0	0
AC113189.2	0	0	0	2.29541	0
AC113189.4	0	0	0	2.29541	0.74176
AC113189.5	0	0	0	2.29541	0
AC113189.7	0	0	0	2.29541	0.74176
AC113192.1	0	0	0	0	0
AC113192.4	0	0	0	0	0
AC113192.5	0	0	0	0	0
AC113208.1	0	0	0	0	0
AC113340.1	0	0	0	0	0
AC113346.1	104.2242	49.8416	22.13976	50.70001	61.4358
AC113346.2	113.98	80.58865	41.58997	63.91592	74.06629
AC113347.1	0	0	0.3412	0	0.366
AC113352.1	0	0	0	0	0
AC113367.1	0	0	0	0	0
AC113367.2	0	0	0	0	0
AC113367.3	0	0	0	0	0
AC113368.1	0.44712	0	1.21904	1.53064	5.13864
AC113378.1	1.13828	0.90896	0	0	0
AC113382.1	0	0	0	0	0
AC113382.2	0	0	0	0	0
AC113383.1	25.5078	28.692	29.4242	31.3665	34.173
AC113385.1	52.95159	78.7905	45.6094	117.8185	137.4975
AC113385.2	35.7407	24.3205	17.32361	49.895	46.5746
AC113404.2	0	0	1.48365	7.18961	10.293
AC113410.1	0	0	0	0	0
AC113410.3	0	0	0	0	0
AC113430.1	0	0	0	0	0
AC113554.1	59.25401	37.73462	70.97937	57.49045	36.97124
AC113608.1	5.21349	4.57444	5.28184	19.0566	32.8698
AC113615.1	2.52313	0.75088	1.06975	3.69547	5.12888
AC113935.1	57.9362	62.3034	136.358	44.8143	34.1044
AC114271.1	46.1377	33.0218	15.8325	14.6102	23.4785
AC114284.1	3.09304	1.12632	0.64785	0	1.54696
AC114296.1	0	0	0	0	0
AC114316.1	26.388	26.1333	16.72642	18.63398	22.94764
AC114316.2	32.47633	21.06112	10.02206	12.92412	8.24294
AC114321.1	0	0	0.81869	0	0
AC114324.2	0	0	0	0	0
AC114400.1	0	0	0.15762	0	0
AC114401.1	0.36936	0	0	0	0
AC114488.2	267.69318	277.96005	704.30411	693.92733	762.86631
AC114488.3	18.2323	24.3356	52.9105	61.7412	72.358
AC114491.1	0.36936	2.1242	1.18528	0.76532	0.54656
AC114492.1	0	0	0	0	0
AC114498.1	0	2.93436	0	0	0
AC114501.3	0.79737	0.40014	0.19604	0.03021	0.79056
AC114546.1	3.44299	4.36202	2.61738	6.18723	3.11832
AC114546.2	306.88054	288.08088	198.36942	226.85653	138.7856
AC114546.3	157.332	94.6462	26.6041	31.6807	41.6229
AC114546.4	5.62172	8.51098	0.25134	4.89879	3.5136
AC114550.1	81.6989	114.6986	89.4284	172.4106	150.1423
AC114550.3	45.4331	59.9771	45.32391	79.826	77.1891
AC114689.3	0	0	0	0	0
AC114728.1	0	0.30628	0	0	0
AC114737.2	0	0	0	0	0
AC114737.3	0	0	0	0	0
AC114755.1	0	0	0	0	0
AC114755.4	0	0	0	0	0
AC114755.5	0	0	0	0	0
AC114760.2	1.47896	0	0	0	0
AC114763.2	0	0	0	0	0
AC114774.1	0	0	0	0	0
AC114781.1	24.4869	123.95	0.64752	21.5977	14.4498
AC114781.3	3.84692	18.0035	0.96813	4.4555	2.93288
AC114786.1	0	0	0	0	0
AC114786.2	0	0	0	0	0
AC114786.4	0	0	0	0	0
AC114801.1	0.70956	2.76146	4.4845	3.72989	9.37942
AC114803.1	1.44891	2.16372	0.2556	0.30683	1.63968
AC114810.1	136.224	90.0474	67.6376	73.583	48.9703
AC114810.2	90.1693	60.096	65.3273	60.5022	58.5118
AC114811.2	0	1.49682	0.18318	0	0
AC114812.3	0	0	0	0	0
AC114812.4	0	0	0	0	0
AC114814.3	100.0472	109.6904	293.828	171.0563	184.1896
AC114878.1	5.08684	5.59162	10.8527	8.42266	9.3794
AC114878.2	14.045	11.8453	65.4819	71.448	41.971
AC114912.1	8.05317	8.86234	0.79329	0.72454	0.50752
AC114936.1	0	0	0	0	0
AC114936.2	0.66096	0	0	0	1.05408
AC114936.3	0	0	0	0	0
AC114936.4	0	0	0	0	0
AC114947.1	2.11001	5.4834	3.17077	7.82258	26.1976
AC114947.2	0	0	0	0	0.244
AC114954.1	7.00675	7.82922	0	0	1.6348
AC114956.1	0	0	0	0	0
AC114956.2	0	0	0.16188	0.19114	0.29768
AC114956.3	0	0	0	0.34717	0
AC114964.1	1.47809	3.7544	26.9273	7.17226	17.7876
AC114977.1	28.7518	10.5123	1.19344	5.37616	2.96704
AC114981.1	5.88931	3.88284	29.4886	24.3579	36.9003
AC115099.1	0	0	0	0	0
AC115102.1	2.84414	1.482	5.19709	7.28946	6.91496
AC115115.1	0	0	0	0	0
AC115220.1	196.57772	489.3159	16.42424	19.41725	15.8307
AC115220.2	104.86285	237.8289	8.01497	6.46836	9.1012
AC115223.1	0.73872	3.73464	1.29656	2.29522	0.74176
AC115283.1	121.81	136.036	132.407	127.45	115.624
AC115284.3	56.04023	35.29477	53.61889	60.04918	36.7682
AC115618.3	0.73872	0	0.9717	0.63378	0
AC115990.1	0	0	0.2343	0	0.26352
AC116003.1	0	0.85462	0	0.76456	0
AC116003.3	4.7656	2.03034	0.64807	0.76456	0.37088
AC116021.1	1.0209	0.94354	1.2958	0.38228	2.806
AC116025.1	0	0	0	0	0
AC116036.1	3.48159	1.42272	0	3.85612	2.84016
AC116038.1	0	0	0	0	1.47864
AC116049.1	0	0	0	0	0
AC116049.2	0	0	0	0	0
AC116049.3	0	0	0	0	0
AC116050.1	0	0	0	0	0
AC116096.1	0	0.6422	0	0	0.74176
AC116158.1	0	2.25264	0	0	0
AC116158.2	0	0.75088	0	0	0.74176
AC116165.2	0	0	0	0	0
AC116165.5	0.31104	0	0	0.63429	0
AC116165.7	0	0	0	0	0
AC116165.8	0	0	0.03408	0.61411	0.19032
AC116312.1	1.37585	0	0	0.56839	0.74176
AC116337.1	0	0	0	0	0
AC116337.2	0	0	0	0	0
AC116345.1	0	0	0	0.24647	0.09272
AC116347.1	3.59325	1.50176	0.64752	0	0
AC116347.2	0.01944	0	0	0	0
AC116351.2	0	0	0	0	0.11224
AC116351.4	0	0	0	0	0.11224
AC116353.1	0	0	0	0	0
AC116353.2	0	0	0	0	0
AC116366.3	0	0	0	0	0
AC116407.2	169.63	176.593	214.622	267.512	263.356
AC116407.4	254.547	326.479	514.596	493.649	508.746
AC116447.1	10.179	7.02436	3.02612	1.80695	10.5701
AC116535.1	0.43254	0	0	0	0
AC116553.2	44.9083	69.2834	41.0584	76.2254	80.039
AC116562.3	0	0	0	0	0
AC116565.1	0	0	0	0	0
AC116609.1	0	0.37544	0	0	0
AC116609.2	0	0	0	0	0
AC116666.1	0	0	0	0	0
AC116667.1	0	0	0	0	0
AC116667.2	0	0	0	0	0
AC116914.1	61.42269	13.59238	0.64778	0	2.43512
AC116914.2	6.91089	2.1242	0	0	0
AC117377.1	0	0	0	0	0
AC117382.2	0	0	0	0	0
AC117386.2	23.27555	14.3738	19.99623	53.96803	59.30724
AC117395.1	1.82748	0	0	0	0
AC117409.1	0	0	0	0	0
AC117422.1	0	0	0	0	0
AC117454.1	0	0	0	0	0.37088
AC117457.1	372.5534	382.46012	54.42912	104.02272	91.6749
AC117462.1	0	0.1235	0	0.3169	1.27856
AC117473.1	0	0	0	0	0
AC117489.1	1.47896	0	0	0.75954	0
AC117490.2	0	0	0	0	0
AC117498.1	17.673	24.34048	62.3568	48.6464	32.4747
AC117498.2	0.96228	0	0	0	0.976
AC117500.1	0	0	0	0	0
AC117500.4	0	0	0	0	0
AC117503.2	0	0	0	0	0.73688
AC117503.3	0	0.75088	0	1.52988	0.73688
AC117525.1	0	0	0	0	0
AC117529.1	4.43395	1.49682	1.29644	1.52912	2.22528
AC117529.2	100.042	28.579	12.5884	12.227	33.6232
AC117532.1	1.97934	0.01482	1.13408	0.02012	0.1464
AC117569.1	0	0.06916	0	0	0
AC117834.1	188.92279	128.36568	16.88892	34.88022	23.95225
AC117945.1	0	0	0	0	0
AC118273.2	0	0	0	0	0
AC118282.4	0.73907	0	1.94408	0	0
AC118344.2	96.2255	67.005	33.0962	40.5324	43.1197
AC118553.2	20469.99314	22901.32366	73716.41559	39682.56116	31566.66938
AC118555.1	16.06846	18.34973	11.76941	37.62982	32.16654
AC118653.1	0	0	0	0	0
AC118653.2	0	0	0	0	0
AC118658.1	0	0	0	0	0
AC118754.2	0	0	0	0	0
AC118758.2	0	0	0	0	0
AC118942.1	0.10206	0	0	0	1.37616
AC119396.1	0	0	0	0.24647	0
AC119424.1	0	0	0	0	0
AC119427.1	0	0	0	0	0
AC119428.3	35.8521	2.71206	9.27567	0.73473	4.49448
AC119501.1	0	0	0	0	0
AC119618.1	0	0.75088	0	0	0
AC119673.1	1.47896	4.08044	18.14263	18.29428	24.76126
AC119677.1	0	0	0	0	0.74176
AC119751.1	0	0	0	0	0
AC119751.4	0	1.50176	0	0	0
AC119800.1	1.95906	2.28722	1.68791	0.41256	3.65512
AC119868.1	0	0	0	0	0
AC120024.2	0	0	0	0	0
AC120024.3	0	0	0	0	0
AC120035.1	0	0.40508	4.6561	4.80695	5.35357
AC120036.3	0	0	0	0	0
AC120036.4	0	0	0	0	0
AC120036.5	0	0	0	0	0
AC120042.1	0	0	0	0	0
AC120042.2	0	0	0	0	0
AC120057.1	0	0	0	0	0
AC120057.3	0	0	0.64752	0.76456	0.37088
AC120114.1	0	0	0	0	0
AC120114.2	0	0	0	0	0
AC120114.4	0	0	0	0	0
AC120338.1	0.27216	0.36556	0	1.45397	0.28792
AC120349.1	0	0	0	0	0
AC120349.3	0	0	0	0	0
AC120498.10	307.25	198.81	326.07	150.016	229.007
AC120498.2	10.47551	0.95836	2.22095	1.8072	3.20128
AC121161.1	0	0	0	0	0
AC121247.1	0	0	0	0	0
AC121320.1	5.36875	5.39448	0.68175	3.95664	2.77672
AC121334.3	0	0	0	0	0
AC121338.1	0	0	0	0	0
AC121338.2	0.73902	0	0	0	0
AC121342.1	2.25611	0	1.62032	1.77649	1.24928
AC121758.1	0	0	0	0	0
AC121758.2	0	0	0	0	0
AC122108.1	2.50913	1.00776	2.5113	1.09717	2.32288
AC122129.1	0.73872	0	0	0	0
AC122129.2	0	0	0	0	0
AC122134.1	0	0	0	0	0
AC122136.1	0	0	0	0	0.40016
AC122688.2	0	0	0	0	0
AC122688.3	0	0	0	0	0
AC122688.4	0.68089	0.28158	0	0	0
AC122694.1	0.73872	1.63514	4.23303	9.61531	6.9784
AC122710.1	24.15622	42.6554	47.11821	46.27967	51.33311
AC122710.2	116.08104	87.71539	117.63753	167.27467	149.76772
AC122710.3	0	0	0.4047	0	0.0488
AC122718.1	1.47876	0.2717	0	1.53064	1.48352
AC122718.2	0.19926	0.5187	0	0	0
AC122719.1	177.9805	80.1742	106.0177	60.1493	66.7006
AC122719.2	0	0.75582	0	0	0.1464
AC123023.1	0	0	0	0	0
AC123567.1	0	0	0	0	0
AC123767.1	77.7624	40.95724	88.24917	111.23922	166.97684
AC123768.2	4.20636	8.13593	9.04505	6.2119	6.64656
AC123768.4	0	0	0	0	0
AC123784.1	0	0	0	0.34204	0
AC123786.1	51.3515	110.9644	36.79466	34.15087	55.0765
AC123788.1	13.88525	0	0	0	0
AC123904.2	0	0	0	0	0
AC123912.3	3.77785	4.90048	0.64752	2.15818	1.54208
AC123912.6	0	0.39026	0.46434	0	0
AC124016.1	0	0	0	0	0
AC124017.1	0	0	0	0	0
AC124045.1	28.6448	11.7967	3.63153	23.4282	16.1333
AC124057.1	84.0808	60.6884	63.99781	32.5396	43.0651
AC124067.1	23.47962	25.67403	115.7356	157.8198	179.0306
AC124067.3	4.81943	5.29568	13.23569	13.51733	8.09104
AC124068.2	1.97802	0.12844	0	1.55078	1.48352
AC124069.1	0	0	0	0	0
AC124242.1	0	0	0	0	0
AC124248.1	0	3.14184	4.66336	1.86758	7.87632
AC124254.1	2.49971	0.8892	2.26349	0.96158	0.35136
AC124276.1	0	0	0	0	0.00488
AC124276.2	0	0	0	0	0
AC124283.3	0	0	0	0	0
AC124283.5	0	0	0	0	0
AC124293.1	0	0	0	3.4428	0
AC124301.1	91.29372	112.26918	3.24433	5.59661	3.4648
AC124303.1	0	0	0	0	0
AC124303.2	102.027	47.4177	13.8425	50.2355	58.9601
AC124312.1	2.18349	7.66524	2.14776	4.92346	0.44896
AC124312.3	0	0	0	0	0
AC124312.4	0	0	0	0	0
AC124312.5	0.3888	0	0	0	0
AC124319.1	0	0	0	0	0
AC124319.4	0	0	0	0	0
AC124784.1	0	0	0	0	0
AC124798.1	0	0.75088	0	0	0.74176
AC124804.1	0	0	0	0	0
AC124856.1	8.65649	6.5552	0.65226	1.90323	3.10856
AC124864.2	14.5755	9.69084	6.26192	6.88731	6.60272
AC124891.1	3.97794	0	0	0	0
AC124893.1	15.76202	8.22477	5.2944	3.24119	5.12888
AC124916.2	0	0	0	0	0
AC124944.1	0	0	0	0	0
AC124944.2	0	0	0	0	0
AC124947.2	86.6836	78.2071	16.92779	80.25923	64.29015
AC125257.2	1.32267	0.37544	0	0.38228	0
AC125336.1	1.4782	4.51516	0	0	0
AC125388.1	0	0	0	0	0
AC125421.1	0	0	0	0	0
AC125437.1	0	0	0	0	0
AC125437.2	0	0	0	0	0
AC125453.1	0	0	0	0	0
AC125494.1	195.95174	140.31895	137.10253	83.77463	102.90836
AC125494.2	0	0	0	0	0.37088
AC125494.3	0	0	0	0	0.40992
AC125603.1	0	0	0	0	0.2684
AC125603.2	12.2309	9.63693	0	0	0.1464
AC125603.3	3.55477	3.5568	0	0	0.00976
AC125603.4	9.37087	1.01764	0	0	0
AC125611.2	0	0	0	0	0
AC125807.2	0	0	0	0.62906	0
AC126118.1	0	21.3427	0	0	0
AC126121.1	9.45444	21.698	8.86199	4.94332	4.39688
AC126175.1	0	0	0	0	0
AC126177.3	3.28742	20.28132	18.64096	144.9358	110.7088
AC126177.5	2.72341	5.11728	5.18788	24.4084	14.2855
AC126177.6	5.81131	12.09802	20.30776	84.6903	54.1983
AC126178.1	0	0	0	0	0
AC126182.2	0	0	0.14484	0	0
AC126323.5	0	0	0	0	0
AC126323.6	0.35964	0.42484	0	0.23138	0
AC126335.2	331.545	447.883	383.95	851.52	973.168
AC126365.1	0.73872	4.23358	6.11276	12.7303	9.882
AC126471.1	0	0	0	0	0
AC126544.1	69.1166	19.9257	48.0348	66.0956	74.7495
AC126564.1	0	0	0	0	0
AC126614.1	0	0	0	0.76456	0
AC126615.1	3.20908	25.5803	0	0.63378	4.54328
AC126615.2	0	0	0	0	0.24888
AC126696.2	0	0	0	0	0
AC126755.4	0	0	0	0	0
AC126755.5	0	0	0	0	0
AC126755.6	0	0	0	0	0
AC126763.1	5.88448	1.15102	0	0	0.74176
AC126768.2	0.73875	0	0	0	0
AC126768.3	0	0	0	0	0
AC126773.4	0	0	0	0	0
AC126915.1	1087.23	1517.68	177.364	271.364	208.86
AC126915.2	120.083	141.159	15.8781	24.8112	25.6466
AC127002.1	0	0	0	0	0
AC127024.1	0	0	0	0	0
AC127024.2	31.2467	25.64572	26.81763	62.46184	134.89132
AC127024.5	0	0	0	0	0
AC127024.6	0	0	0	0	0
AC127024.8	9843.05	4761.98	10301	5150.86	5141.57
AC127029.1	40.9486	72.745	4.9577	5.77962	0.44408
AC127032.1	3.68536	2.11432	22.2428	38.4595	42.7027
AC127035.1	101.78364	70.32967	12.98006	47.13447	40.79504
AC127070.1	0	0	0	0	0
AC127070.2	0	0	0	0	0
AC127070.3	0	0	0	0	0
AC127071.2	0	0	0	0	0
AC127391.1	2.05723	0.94354	0	0	0
AC127459.2	38.9163	91.2123	83.7849	113.7755	74.8182
AC127459.3	29.1509	86.807	41.4619	61.157	50.8639
AC127496.7	0	0	0	0	0
AC127502.1	0	0.23218	0	0	0.61488
AC127502.2	0	0	0	0	0
AC127502.3	0	0	0	0	0
AC127518.1	21.54966	64.77767	4.32046	55.73852	23.14584
AC127526.1	36.71764	27.81814	28.13731	16.75042	21.44944
AC127537.1	0	0	0	0	0
AC127537.4	0	0	0	0	0
AC127894.1	0	0	0	0	0
AC128685.1	3.39414	4.51022	0	0.76456	0
AC128687.1	0	0	0.80514	0	0
AC128707.1	0	0	0	0	0
AC128709.3	0.30132	0	0	0	0.23424
AC128716.1	6.95457	8.70781	11.181	15.175	8.45772
AC129492.1	0	0	0.46915	0.86569	0.20984
AC129492.4	0.11178	1.19548	0	0	0
AC129492.6	0	0.36556	0	0.02515	0
AC129492.7	0.30618	0	0	0	0
AC129502.1	2.58704	0.27664	2.91204	0.76456	1.44448
AC129507.1	0	0	0	0	0
AC129507.2	0.73872	1.4079	0	0	1.45424
AC129507.3	0	0	0	0	0
AC129507.4	0	0	0	0	0
AC129507.5	0	0	0	0	0
AC129507.6	0	0	0	0	0
AC129507.7	0	0	0	0	0
AC129507.8	0.73872	1.12632	0	0	1.48352
AC129510.1	0	0	0	0	0
AC129510.2	0	0	0	0	0
AC129807.1	0	0	0	0	0
AC129850.1	0	0	0	0	0
AC129915.1	2.24618	3.72476	25.4047	14.0864	7.01256
AC129915.2	4.56202	1.17078	0.98061	2.06854	0.81496
AC129915.3	0.34992	0	1.63703	1.52988	2.06424
AC129926.2	0.34992	1.50176	0.25986	0.38228	0.37088
AC130289.1	0	0	0	0	0
AC130289.2	0	0	0	0.08048	0
AC130304.1	244.096	163.351	339.25	195.182	187.829
AC130310.2	9.53175	13.49474	2.00805	5.59834	6.70024
AC130324.3	0	0.3211	0.81888	0.37725	1.23952
AC130343.2	6.54116	8.55524	2.18722	1.96805	5.64128
AC130352.1	42.6464	82.9248	31.6497	41.7739	32.1959
AC130360.1	0	0	0.64752	0.76456	0
AC130364.1	0	0	0	0	0
AC130364.4	0	0	0	0	0
AC130371.1	10.35317	76.65727	3.36592	34.83367	17.2752
AC130371.2	71.5044	206.51	13.9644	93.9687	60.9671
AC130448.1	0	0	0	0	0
AC130448.2	0	0	0	0	0
AC130454.1	1877.54	1104.21	2368.4	1274.52	829.203
AC130456.1	16.3596	46.2661	42.7119	75.3203	65.7446
AC130456.5	0.40824	0	0	0.76456	0.9028
AC130456.6	0	0.75088	0	1.12236	0.99552
AC130456.8	137.0321	111.879	124.9696	468.258	381.9417
AC130462.1	0	0	0	0	0
AC130469.1	35.599	60.071	29.1261	62.2701	73.5784
AC130472.1	0	0	0	0	0
AC130650.2	0	0	0.64788	0	0
AC130651.1	54.21547	54.98335	47.7747	75.51647	61.7721
AC130686.1	2.21688	1.49188	2.56636	9.07032	4.59696
AC131009.2	0	0	0	0	0
AC131009.3	0	0	0	0	0
AC131009.4	0	0	0	0	0
AC131025.1	0	0	0	0	0
AC131055.1	0	0	0	0	0
AC131056.1	5.26049	6.03668	16.49399	14.75987	23.94134
AC131056.3	8.005	7.15184	22.36557	32.53471	41.8601
AC131056.4	40.3941	32.3026	53.2643	28.0588	41.0106
AC131056.5	39.0956	58.1793	47.4674	149.8543	131.1043
AC131097.4	0	0	0	0	0
AC131097.8	0	0	0	0	0
AC131157.1	0	0	0	0	0
AC131159.1	0	0	0	0	0
AC131182.1	0	0	0	0	0
AC131212.2	0	0	0	0	0
AC131212.3	0	0	0	0	0
AC131235.1	0	0	0	0	0
AC131235.2	11.19052	7.30626	3.44432	3.76431	2.94752
AC131238.1	0	0	0	0	0
AC131254.2	0	0.27664	0	0	0
AC131254.3	0	0.30628	0	0	0
AC131274.3	0	0	0	1.16812	0
AC131280.1	1242.551	1061.205	1515.895	973.914	1192.632
AC131391.1	0	0	0	0.7646	4.758
AC131392.1	0	0	0	0	0
AC131532.1	3.47238	5.78474	2.06761	3.76478	13.46896
AC131901.1	34.40268	17.5044	26.44886	9.27331	16.35922
AC131901.2	0.13122	0	0.73762	3.26669	7.27156
AC131902.3	0	0	0	0	0
AC131934.1	0.53512	0	0	0	0
AC131953.1	0	0.11362	0	0	0
AC131956.1	0	0	0	0	0
AC131971.1	0	0	0	0	0.19032
AC132154.1	0	0	0	0	0
AC132216.1	0	0	0	0	0
AC132219.1	0	0	0	0	0
AC132219.2	0	0	0	0	0.36112
AC132807.1	0	0	0	0	0
AC132807.2	0	0	0	0	0
AC132812.1	0.32562	1.50176	0	0	0.74176
AC132825.1	1426.89	1239.99	1423.42	863.261	744.917
AC132825.3	0.22356	0	0	0	0
AC132825.4	1.47744	0.58786	0.32376	0	1.84952
AC132825.6	9.88234	6.39707	10.4518	9.12785	3.82104
AC132825.7	12.985	3.01834	11.0872	4.3446	8.03736
AC132825.8	7.84488	7.0932	13.5424	9.47017	6.26592
AC132872.1	0	0	0	0	0
AC132872.2	0	0	0	0	0.7076
AC132872.3	0	0	0	0	0
AC132872.4	2.07036	3.00352	0.64752	4.1384	0.74176
AC132938.5	0	0	0	0	0
AC132942.1	8.28674	5.22636	0	0	0
AC133065.3	0.73872	0	0	0	0
AC133106.1	0	0	0	0	0
AC133134.1	1.34725	0	1.15098	0.46301	0
AC133473.1	0	0	0	0	0
AC133485.4	13.8605	6.87567	6.52639	9.39481	7.9351
AC133485.5	112.6182	71.96022	39.6929	46.82869	50.22038
AC133485.6	35.4873	8.38789	3.87495	15.5823	12.9565
AC133528.1	71.7575	20.8598	29.2335	36.3048	51.6208
AC133539.2	0	0	0	0	0
AC133540.1	0	0.75088	0	0	0.28792
AC133551.1	142.721	119.5744	26.17627	47.9296	36.5055
AC133552.1	1.69226	0.75088	2.59179	1.53064	7.5884
AC133552.2	0.96791	4.64854	11.96932	6.70059	19.23208
AC133552.3	0.73873	1.50176	0	0	0
AC133555.1	0	0	0	0	0
AC133555.2	0	0	0	0	0
AC133555.4	0	0	0	0	0
AC133555.5	0	0	0	0	0
AC133561.1	0.44249	0	0	0	0
AC133561.3	0	0	0	0	0
AC133561.4	0	0	0	0	0
AC133565.1	47.8448	23.31363	33.40146	40.7005	43.8169
AC133633.1	14.95485	8.8561	13.61468	8.62435	8.2472
AC133634.1	0	0	0	0	0
AC133637.1	0.36936	0.75088	0	0.24144	0
AC133644.3	0	0	1.8595	0	0
AC133865.1	0	0	0	0	0
AC133963.1	11.8908	19.2899	85.832	120.819	142.419
AC133963.2	54.49803	41.7759	73.52437	138.93453	117.70208
AC133965.1	0	0	0	0	0
AC134043.1	0	0	0	0	0
AC134043.2	14.0155	4.0508	2.64174	2.29436	8.11544
AC134050.1	0	0	0	0	0
AC134312.2	0	0	0	0	0
AC134312.3	0	0	0	0	0
AC134407.2	0	0	0	0	0
AC134407.3	0	0	0	0	0
AC134503.1	0.53993	1.60543	1.25741	1.31899	0.37576
AC134682.1	0	0	0	0	0
AC134684.1	0.71472	0	0.18318	1.03688	2.9036
AC134684.10	0	0	0	0	0
AC134684.2	0	0	0	0	0
AC134684.6	0	0	0	0	0
AC134684.7	1.77945	0	0	0	1.49816
AC134698.1	170.19924	128.58305	64.07053	84.16113	81.45031
AC134698.2	0	0	0	0	0
AC134698.4	0	0	0	0	0
AC134698.5	0	0	0	0	0
AC134775.1	0	0	0	0	0
AC134878.1	13.2186	12.1648	15.9548	18.5127	12.7379
AC134879.3	0	0	0	0	0
AC134915.1	0	0	0	0	0
AC134980.2	291.0758	266.9217	391.4736	821.35668	779.41646
AC134980.3	436.7649	282.2869	572.6908	1095.6102	775.28286
AC135001.1	0	0	0	0	0
AC135048.1	449.75394	492.30834	1027.07	920.2997	840.7932
AC135050.1	687.7219	1057.0634	2015.874	2067.2914	2554.538
AC135050.3	87.3926	69.7219	103.6346	149.4418	161.1975
AC135050.4	9.83343	31.1271	36.2484	29.8108	42.8505
AC135050.5	0	0	0	0.76456	0
AC135050.6	0	0	0	0	0
AC135050.7	0	0	0.28542	0.29677	0
AC135068.1	0.36936	3.73958	0	0.76478	0
AC135068.10	0.73872	1.50176	1.28696	0	3.7088
AC135068.11	2.68332	1.50176	2.5916	0.76456	0.1464
AC135068.3	1.47747	0	0.64752	0	0.74176
AC135068.4	48.2979	65.0843	9.98861	24.9509	28.2315
AC135178.3	231.92859	338.21361	196.81498	363.82155	540.7856
AC135178.4	0	0.24206	0	0.56336	0
AC135178.5	0	0.28158	0	0	0
AC135352.1	0	0	0	0	0
AC135388.1	0	0	0	0	0
AC135507.1	9.71676	6.58941	0	3.07511	3.20128
AC135584.1	0	0	0	0	0
AC135586.1	0	0	0	0	0
AC135586.2	0	0	0	0	0
AC135626.1	0	0	0	0	0
AC135628.1	0.03888	0	0	0	0
AC135721.1	0	0	0	0	0
AC135721.2	0	0	0	0	0
AC135731.1	0	0	0	0	0
AC135731.2	0.73396	0	0	0	0
AC135776.1	46.58	35.9406	17.5553	30.2248	46.8878
AC135776.3	3.53969	1.71418	0.85715	4.48542	4.16264
AC135776.4	3.69023	1.99082	0	3.05976	2.22528
AC135782.2	32.4965	36.5504	47.26389	38.13316	56.08132
AC135895.1	10.15903	4.36667	2.23786	3.96083	4.41174
AC136188.1	0	0	0	0	0
AC136285.1	0	0	0	0	0
AC136285.2	0.4374	0	0	0	0
AC136285.3	6.61472	11.94496	0	4.14152	7.35416
AC136297.1	4.86326	3.76426	2.00315	2.19967	1.90808
AC136352.5	0	0	0	0	0.244
AC136352.7	62.6736	60.1099	29.2637	40.393	110.4647
AC136352.9	0	0.6175	0.96352	0.32192	0
AC136424.1	24.05937	87.029	0.16188	0.38756	0.63928
AC136424.2	15.85454	98.3795	2.46378	0.27671	2.10328
AC136428.2	0	0	0	0	0
AC136428.3	0	0	0	0	0
AC136443.3	0	0	0	0	0
AC136475.1	0	0	0	0	0
AC136475.3	4.70232	0.48906	0.55445	0.76456	0
AC136475.4	0	0	0	0	0
AC136475.5	0	0	0	0	0
AC136475.9	0	0	0	0	0
AC136489.1	226.23845	117.05536	106.9653	144.60239	130.02809
AC136601.1	0	0.75088	0.32376	0	0.74176
AC136601.2	0	0	0	0	0
AC136603.1	0	0	0	0	0
AC136604.1	0	0.75088	0	2.96016	0
AC136604.3	0	0	0	0	0
AC136616.2	43.1175	38.0074	25.38344	19.65022	18.97498
AC136616.3	2.07171	3.08707	16.172	13.85026	16.21784
AC136618.2	0	0	0	0	0
AC136621.1	0	0	0	0	0
AC136624.1	1.17654	6.69811	2.53661	10.32529	4.3676
AC136628.1	0	0.42484	0	0	1.45912
AC136628.2	0	0	0	0	0
AC136632.1	0	0	0	0	0
AC136632.2	0	0	0	0	0
AC136687.1	89.94636	78.12896	61.38185	66.48863	58.93008
AC136687.2	0	0	0	0	0
AC136687.3	0	0	0	0	0
AC136759.1	2.21616	0	0	0	0
AC136759.2	2.21616	0	0	0	0
AC136777.2	0.90455	1.50176	0	1.63574	0
AC136932.1	0	0	0	0	0
AC136944.6	0.91854	0	0	0	0
AC137055.1	0	0	0	0	0
AC137056.2	1.24496	0	8.96912	10.9728	7.30536
AC137499.1	0.61267	0.58786	7.22075	6.92295	9.25352
AC137499.2	12.1968	9.81065	9.02376	17.7458	44.2197
AC137527.1	4.24087	7.87311	2.28054	7.93485	4.75371
AC137549.1	3.58377	8.47167	0	3.47312	1.464
AC137627.1	0	0	0	0.17102	0.37088
AC137630.3	0	0	0.32376	0	0
AC137675.1	0.59819	0.18772	0.24298	0.37755	0.2684
AC137695.1	0	0	0	0	0
AC137695.2	0	0	0	0	0
AC137723.1	0	0	0	0	0
AC137761.1	85.51577	44.68505	39.05339	37.35247	28.61388
