symbol  TSC1	TSC2	MSC1	MSC2	NPC1	NPC2	ESC1	ESC2	MES1	MES2
SERPINB5	6	2	0	1	0	2	67	90	457	457
SERPINB6	11421	12831	31863	32173	1749	1852	4820	5002	8158	8158
SERPINB7	1063	1068	100	112	0	6	4	8	0	0
SERPINB8	2530	2697	13759	14238	498	510	331	346	1256	1256
SERPINB8P1	0	0	0	0	0	0	0	0	0	0
SERPINB9	259766	271918	8085	8405	759	861	17558	18921	209005	209005
SERPINC1	33	40	12	7	22	14	8	8	4	4
SERPIND1	9	16	29	26	6	16	8	15	6	6
SERPINE1	66454	66750	298059	301232	1204	1153	7356	11982	31506	31506
SERPINE2	41847	44329	161151	168175	6120	6309	27350	35935	290031	290031
SERPINE3	328	351	501	456	600	540	649	674	559	559
SERPINF1	353	497	10409	10523	9357	9001	9012	10876	2782	2782
SERPINF2	15	35	15	9	48	31	251	323	142	142
SERPING1	8504	11361	15025	14755	19673	20250	21829	26056	7721	7721
SERPINH1	126306	144360	330727	328022	97323	99975	209507	246160	154521	154521
SERPINH1P1	8659	10425	22787	21958	6756	6910	14343	16301	10862	10862
SERPINI1	426	538	335	368	541	530	1245	1597	1264	1264
SERPINI2	8	9	0	0	2	1	27	22	609	609
SERTAD1	2958	3306	4309	4541	1109	1097	991	1040	971	971
SERTAD2	21576	24460	13651	13537	20518	20937	2703	2943	8955	8955
SERTAD3	8471	9445	7472	7734	4904	4878	2637	2918	2889	2889
SERTAD4	12405	16067	3997	3909	9095	8997	2448	2828	17645	17645
SERTAD4-AS1	754	927	909	1001	1343	1592	237	362	1358	1358
SERTM1	20	19	2	0	158	170	919	940	503	503
SESN1	6488	7196	3763	4293	8897	9407	2740	3219	3005	3005
SESN2	28902	32380	17889	17792	10225	10244	9723	10432	12086	12086
SESN3	125195	162348	23232	24007	112288	117543	8300	8404	2829	2829
SESTD1	16984	19525	12660	12837	39807	41513	11306	11304	8556	8556
SET	74768	88557	78588	81627	196779	205226	175907	207935	300878	300878
SETBP1	8948	11557	7834	7802	9053	9677	1608	1827	3237	3237
SETD1A	11048	13072	10418	9914	15446	15634	12520	13739	21976	21976
SETD1B	23909	27352	16463	14937	10284	10839	8029	8089	18868	18868
SETD2	17694	22589	17806	17400	26107	26166	21400	22428	26053	26053
SETD3	21823	25626	10086	10431	11118	11497	11655	14006	18504	18504
SETD4	3537	4315	2081	2165	4358	4392	9533	9089	5484	5484
SETD5	55114	66630	39994	38291	95319	97534	63958	63674	57115	57115
SETD5-AS1	5088	5568	2085	2065	11147	11998	6469	5959	4488	4488
SETD6	1865	2187	1363	1361	4819	4616	7001	7387	7725	7725
SETD7	11266	12821	33637	33777	8117	8053	1696	1761	11355	11355
SETD8	9278	10602	11012	10883	8458	8350	3490	3591	5717	5717
SETD9	483	546	510	574	1032	1014	531	545	1064	1064
SETDB1	4092	5093	4293	4213	8336	8155	4990	5024	5871	5871
SETDB2	1472	1831	5718	5698	3641	3992	2175	2181	2218	2218
SETMAR	3580	4144	2155	2454	6705	6768	5275	5220	9609	9609
SETP1	0	0	1	0	0	2	0	0	1	1
SETP10	2	2	0	0	0	2	8	2	0	0
SETP11	8	0	0	0	3	0	2	0	0	0
SETP12	16	17	3	2	33	36	22	12	32	32
SETP14	24505	30282	21681	21350	56739	57812	47881	54720	86485	86485
SETP15	0	0	0	0	0	0	0	0	0	0
SETP16	0	0	0	0	0	0	0	0	0	0
SETP17	4	5	9	0	2	1	8	0	0	0
SETP18	3513	4400	2864	2882	6858	7183	7987	9525	14593	14593
SETP2	7	5	3	4	4	4	4	7	16	16
SETP20	14	15	3	11	38	39	33	20	36	36
SETP21	7	9	11	7	10	10	4	16	12	12
SETP22	9	16	6	11	22	30	15	21	33	33
SETP4	7	4	4	2	8	8	13	24	14	14
SETP5	9	10	2	4	2	8	5	7	1	1
SETP6	2	3	0	1	4	5	5	3	4	4
SETP7	1	1	0	1	2	0	2	2	11	11
SETP8	782	919	720	754	1649	1637	1762	1823	2960	2960
SETP9	1	2	1	1	3	10	5	1	17	17
SETX	15660	19913	29106	28263	15852	16142	16832	18675	26468	26468
SEZ6	54	70	22	15	17	28	3369	3430	155	155
SEZ6L	51	63	0	5	542	555	142	126	964	964
SEZ6L2	6956	7881	11990	12609	7565	7839	31866	29604	8471	8471
SF1	52322	59504	42631	42311	80932	82118	50806	55411	102217	102217
SF3A1	26057	30453	20400	20127	27092	27692	29736	31030	52065	52065
SF3A2	13257	15721	11394	11079	23184	23184	14903	15401	20737	20737
SF3A3	8712	10053	12258	12084	20501	21452	21709	23625	35173	35173
SF3A3P1	2693	3200	3205	3123	4811	4859	5108	5725	9525	9525
SF3A3P2	3874	4848	4741	4557	7194	7145	7689	8835	14734	14734
SF3B1	61212	71531	55087	55530	80484	80249	58702	62214	78506	78506
SF3B14	15929	18423	19577	21926	24199	25079	12568	15637	24740	24740
SF3B2	33405	39692	30585	30527	35471	36066	26673	29113	42162	42162
SF3B3	17802	20933	16935	17001	34204	33306	30482	29698	44628	44628
SF3B4	21387	24509	19695	20300	17794	18308	19747	22786	39240	39240
SF3B5	13561	15804	21470	21819	26292	26222	21163	24171	28483	28483
SFI1	1147	1321	1313	1273	5220	5198	2416	2059	1045	1045
SFMBT1	561	737	608	550	3940	4118	2647	3318	2796	2796
SFMBT2	1447	1852	3011	3095	2664	2684	2916	3003	1423	1423
SFN	8905	10512	7	1	517	560	799	1069	5315	5315
SFPQ	84616	97873	61661	60149	106248	109912	125566	130932	212913	212913
SFPQP1	0	0	0	0	0	0	0	0	4	4
SFR1	1162	1395	1021	1180	2189	2369	933	977	2033	2033
SFRP1	223174	257935	165526	174170	366469	380653	143949	185440	4705	4705
SFRP2	27702	35382	1946	2134	158786	159125	186836	232302	104457	104457
SFRP4	4	2	3	2	29	27	14	8	10	10
SFRP5	11	5	5	2	11	22	926	964	308	308
SFSWAP	12168	13999	12037	11936	21372	21842	17022	17208	16279	16279
SFT2D1	6718	7721	7007	7981	8273	8224	7984	10443	11180	11180
SFT2D2	17511	20440	18155	16806	14330	16779	11358	14039	8862	8862
SFT2D3	0	0	0	0	0	0	0	0	0	0
SFTA1P	12	14	2725	2895	1	2	77	196	220	220
SFTA2	5	2	0	0	3	3	1	0	7	7
SFTA3	3	4	0	0	10	11	1	2	1	1
SFTPA1	0	1	0	0	6	0	0	0	0	0
SFTPA2	4	10	0	6	40	25	2	0	0	0
SFTPA3P	0	0	0	0	0	0	0	0	0	0
SFTPB	28	52	4	13	17	4	26	17	8	8
SFTPC	4	4	0	0	6	2	0	2	0	0
SFTPD	36	16	4	5	29	34	29	61	133	133
SFXN1	13788	16143	16141	16293	27456	28111	11288	12352	27541	27541
SFXN2	2622	3039	1292	1387	1902	1938	3376	3697	5015	5015
SFXN3	6762	7683	40020	39350	106	122	781	939	554	554
SFXN4	1282	1370	1290	1548	2284	2134	1775	2187	3212	3212
SFXN5	2972	3043	3749	3588	1333	1275	4640	5483	5318	5318
SGCA	3	9	10	8	65	47	25	28	25	25
SGCB	5082	5964	45864	49705	24812	25683	9935	13782	12998	12998
SGCD	118	214	725	878	24	20	134	129	23	23
SGCE	3286	4086	15744	17152	11425	11862	3677	4182	2436	2436
SGCG	360	447	14	1	123	84	47	47	255	255
SGCZ	2	9	16	26	4	13	11	21	3	3
SGIP1	82	72	15073	15505	2228	2301	488	343	89	89
SGK1	55861	57872	17026	17474	489	432	1793	2037	1436	1436
SGK2	92	92	14	15	380	391	35	17	6	6
SGK223	51900	57088	7310	7036	6207	6369	11445	12681	23968	23968
SGK3	1272	1425	915	993	333	341	1727	1787	1160	1160
SGK494	231	215	134	80	549	552	566	539	331	331
SGMS1	4668	4871	2452	2599	2329	2349	3289	3783	6435	6435
SGMS2	1121	1235	7844	8893	772	871	86	77	168	168
SGOL1	3217	3822	403	460	9679	10485	4544	4828	7086	7086
SGOL1-AS1	8	14	6	0	6	21	6	0	1	1
SGOL2	8249	10616	2537	2615	39963	41522	15480	16506	18297	18297
SGPL1	20727	22697	16662	17197	22428	22908	16384	21490	28861	28861
SGPP1	34328	38975	11178	13120	4355	4448	5970	6987	3851	3851
SGPP2	228	254	48	52	18	31	178	88	417	417
SGSH	4405	4690	22037	22654	3761	3585	4437	4681	2834	2834
SGSM1	37	71	18	22	1824	1690	1419	1343	443	443
SGSM2	12730	14458	12901	12240	26097	25415	5500	5677	3450	3450
SGSM3	7467	9124	7263	7110	12082	11379	5015	5380	4405	4405
SGTA	22660	25255	12773	12717	20093	19714	14989	16523	22967	22967
SGTB	2604	3056	5830	6217	2682	2510	4079	4095	5559	5559
SH2B1	7747	8681	8455	8558	12714	12724	9253	9346	4694	4694
SH2B2	10283	11395	410	370	2045	2058	1018	1277	633	633
SH2B3	4268	5227	51234	51531	7250	7165	16330	18946	22402	22402
SH2D1A	2	2	0	0	27	66	12	24	2	2
SH2D1B	3	6	0	0	0	0	1	0	2	2
SH2D2A	16	13	2	14	532	479	498	629	904	904
SH2D3A	5862	6458	88	128	209	212	7312	7480	11196	11196
SH2D3C	190	187	216	243	1289	1272	963	1074	893	893
SH2D4A	24350	26435	6756	6672	1082	1132	1529	1857	3692	3692
SH2D4B	60	61	2	10	24	33	26	18	25	25
SH2D5	1624	1770	1166	1327	3552	3620	3806	4286	1518	1518
SH2D6	29	32	10	23	37	28	83	74	47	47
SH2D7	113	99	41	72	329	288	148	111	64	64
SH3BGR	217	290	314	264	1644	1780	646	665	963	963
SH3BGRL	9922	11742	44181	48383	28853	30217	9969	11042	16972	16972
SH3BGRL2	16098	18429	2434	2598	20028	19935	7273	8506	16202	16202
SH3BGRL3	17018	20009	49081	49062	15293	14736	7438	8621	9554	9554
SH3BP1	5908	6795	3259	3335	3025	3217	3472	4018	4367	4367
SH3BP2	8712	10061	17677	17215	8008	8253	10121	10120	9815	9815
SH3BP4	25805	29318	46427	46057	30393	30956	13091	15822	26031	26031
SH3BP5	5410	6402	326	279	236	230	125	166	113	113
SH3BP5-AS1	1920	2229	1018	953	953	921	466	401	436	436
SH3BP5L	10208	11082	5376	5806	11851	11812	6472	7189	8276	8276
SH3D19	10624	12605	15057	15005	9368	9701	18713	20399	24189	24189
SH3D21	3834	4474	680	682	1237	1261	1855	1665	1029	1029
SH3GL1	37842	41528	35307	35549	32023	31785	21873	25463	36223	36223
SH3GL1P1	1557	1832	1580	1480	1477	1506	1278	1204	1453	1453
SH3GL1P2	1151	1337	1007	1064	846	775	677	730	1003	1003
SH3GL1P3	1345	1653	1429	1365	1050	1112	846	949	1185	1185
SH3GL2	18	20	20	52	487	494	948	1205	629	629
SH3GL3	498	561	3	10	715	673	1718	1823	2455	2455
SH3GLB1	26779	30361	34893	37073	25764	26429	8346	8641	17901	17901
SH3GLB2	13623	15282	6620	7029	11295	11053	7621	7670	4491	4491
SH3KBP1	35630	40609	34390	35672	4271	4313	5549	5588	4834	4834
SH3PXD2A	16723	19772	19320	19119	19133	19399	6458	6984	11969	11969
SH3PXD2B	46384	53314	33754	32806	38141	39653	28772	32438	42740	42740
SH3RF1	7621	8686	5882	6124	15129	16358	4813	5152	7673	7673
SH3RF2	724	855	454	460	461	437	329	355	1186	1186
SH3RF3	1014	1177	24444	24272	96	105	209	241	1205	1205
SH3RF3-AS1	84	117	2894	2971	16	6	14	34	160	160
SH3TC1	5268	6056	3895	3934	31	16	23	35	82	82
SH3TC2	2273	2410	609	676	255	272	109	109	423	423
SH3YL1	7838	9177	5316	5391	4036	4478	5592	5908	2465	2465
SHANK1	977	1184	49	56	3356	3390	558	500	37	37
SHANK2	19491	21965	38417	38645	5421	5501	16548	17419	9343	9343
SHANK2-AS1	6	13	8	1	4	7	11	8	2	2
SHANK2-AS2	11	2	1	1	0	1	2	1	0	0
SHANK2-AS3	2	4	0	0	0	3	1	1	0	0
SHANK3	1442	1770	2858	2857	14213	14457	1735	1886	1438	1438
SHARPIN	4922	6056	6728	6745	5323	5416	4146	4013	3537	3537
SHB	3534	3960	3785	3796	467	410	744	970	2969	2969
SHBG	46	48	93	84	266	249	67	87	32	32
SHC1	22857	27415	73449	72594	21608	22028	30889	34478	38861	38861
SHC1P1	2328	2860	7584	7242	2362	2426	3322	3624	4074	4074
SHC1P2	1877	2394	5848	5716	1701	1609	2531	2729	3492	3492
SHC2	5025	6065	7830	7846	11161	10794	657	702	316	316
SHC3	61	84	1639	1580	3828	4052	1702	1972	980	980
SHC4	54	57	1254	1319	258	296	86	94	93	93
SHCBP1	3756	4363	1536	1629	2990	3127	2141	2336	4604	4604
SHCBP1L	1	0	0	0	0	0	0	0	0	0
SHD	1152	1428	4	0	93	57	1021	939	163	163
SHE	4	9	9	5	35	37	246	310	177	177
SHF	1248	1724	345	393	7883	7968	3535	3987	4990	4990
SHFM1	14724	16986	16599	17649	28876	28092	19030	24834	24972	24972
SHFM1P1	1873	2235	2240	2257	4132	3871	2681	3336	3159	3159
SHH	5	23	4	0	45	60	13	29	228	228
SHISA2	312	380	587	620	49081	49051	6833	8949	683	683
SHISA3	0	2	402	476	27	45	677	814	306	306
SHISA4	2031	2061	5077	4965	1605	1866	1053	1308	420	420
SHISA5	52269	60859	79307	80364	42723	44965	40766	56662	33756	33756
SHISA6	13	28	0	0	3504	3693	1582	1751	1204	1204
SHISA7	6	14	0	8	447	428	893	1090	57	57
SHISA8	25	12	0	0	7	10	45	61	6	6
SHISA9	4236	4235	5	11	5156	5492	13852	18552	24784	24784
SHKBP1	7723	9227	12132	12096	8813	8755	6188	6555	5748	5748
SHMT1	6525	7412	2399	2474	9251	9060	7891	7778	16602	16602
SHMT1P1	817	997	279	232	1279	1201	915	804	1955	1955
SHMT2	14818	17700	30821	31200	18714	18804	25795	26534	35051	35051
SHOC2	12830	14859	16023	17001	16920	17501	5777	6572	10533	10533
SHOX	18	38	0	2	6	2	40	16	24	24
SHOX2	9	8	4	7	0	0	41	25	269	269
SHPK	3529	4040	4718	4859	9727	10021	8814	10435	12467	12467
SHPRH	3268	4276	2709	2381	10364	10858	7088	6706	7877	7877
SHQ1	3634	4079	3803	3930	3790	3730	4863	5785	8673	8673
SHROOM1	2189	2460	3736	3910	811	845	1033	933	707	707
SHROOM2	13913	16414	9220	8854	7413	7607	5617	6178	7233	7233
SHROOM2P1	0	0	0	0	0	0	0	0	0	0
SHROOM3	25266	29407	13416	13441	38312	40058	15691	16991	13213	13213
SHROOM4	4496	5123	2435	2434	3003	3081	3710	4342	1773	1773
SI	0	0	3	0	0	0	2	1	0	0
SIAE	1779	2031	6932	7355	1000	1088	1089	1409	330	330
SIAH1	14591	16233	2659	3069	5682	6408	3628	3656	8270	8270
SIAH1P1	0	0	0	0	0	0	0	0	9	9
SIAH2	28358	31898	9773	10030	7350	7211	6494	7291	12076	12076
SIAH2-AS1	35	45	17	7	20	26	14	13	27	27
SIAH3	0	5	8	2	23	19	115	89	35	35
SIDT1	56	61	11	21	109	85	39	50	13	13
SIDT1-AS1	0	0	1	0	1	0	0	0	0	0
SIDT2	6140	6678	8078	8433	5522	5872	3314	3639	3229	3229
SIGIRR	5892	6268	3749	3873	1766	1689	5334	5990	3297	3297
SIGLEC1	9	6	0	0	12	16	6	2	0	0
SIGLEC10	25	14	1	0	450	367	521	485	277	277
SIGLEC11	2	0	0	0	2	0	4	7	1	1
SIGLEC12	2	1	0	0	0	0	0	0	0	0
SIGLEC14	230	299	4	1	8	4	0	11	5	5
SIGLEC15	2	11	1075	1219	3	5	86	99	115	115
SIGLEC16	30	37	4	5	21	19	27	34	21	21
SIGLEC17P	2	2	9	37	8	0	36	26	2	2
SIGLEC18P	0	0	0	6	0	0	0	0	0	0
SIGLEC19P	0	0	0	0	0	0	0	0	0	0
SIGLEC20P	0	0	0	0	2	0	3	3	4	4
SIGLEC21P	0	0	0	0	0	0	0	0	0	0
SIGLEC22P	0	0	0	0	0	0	0	1	4	4
SIGLEC26P	0	0	0	0	0	0	0	0	0	0
SIGLEC27P	0	0	0	0	0	0	0	0	0	0
SIGLEC28P	1	2	0	0	0	0	0	0	0	0
SIGLEC29P	4	2	0	0	0	0	0	0	1	1
SIGLEC30P	2	0	0	0	0	0	10	6	1	1
SIGLEC31P	0	4	0	0	0	0	5	2	0	0
SIGLEC5	74	71	0	2	3	2	0	0	0	0
SIGLEC6	3839	4039	0	0	0	0	53	41	29	29
SIGLEC7	0	2	24	18	1	2	0	1	0	0
SIGLEC8	0	0	0	0	0	0	0	0	0	0
SIGLEC9	5	0	60	87	6	0	3	7	2	2
SIGLECL1	1	0	0	0	3	0	4	2	0	0
SIGMAR1	7324	9251	24261	24559	34400	33673	26674	39116	18503	18503
SIK1	13639	16127	5926	4826	2890	2948	1745	2049	2556	2556
SIK2	7769	9606	10668	10836	9993	10652	4905	4742	6253	6253
SIK3	8192	8891	6147	6329	10500	11172	5949	6432	8494	8494
SIK3-IT1	61	52	24	18	68	131	55	45	60	60
SIKE1	16143	18787	15656	15891	30307	31934	20683	20620	23207	23207
SIL1	2362	2407	7648	7949	1439	1458	2392	2685	1621	1621
SIM1	2	1	2	2	2	0	216	208	81	81
SIM2	378	386	310	313	872	910	112	139	60	60
SIMC1	1314	1683	4982	5021	8184	8652	2935	3202	2768	2768
SIN3A	16422	19579	13905	14077	35271	35846	19045	21062	27743	27743
SIN3B	52663	58569	16700	16212	15820	15750	14611	15205	16764	16764
SIPA1	3965	4623	6766	6533	2874	2985	7905	8096	4746	4746
SIPA1L1	21283	24082	9333	9410	22093	22833	20742	22071	29300	29300
SIPA1L2	14832	18094	8726	8500	24754	24979	2782	3291	29914	29914
SIPA1L3	6767	7597	7979	7899	14028	14649	11118	11981	10801	10801
SIRPA	7993	9317	25970	26377	6083	6149	1469	1757	2299	2299
SIRPAP1	1153	1471	3533	3630	982	883	281	340	413	413
SIRPB1	88	76	204	206	57	62	13	22	21	21
SIRPB2	275	289	0	0	2	5	3	6	210	210
SIRPD	0	0	0	0	0	0	0	0	0	0
SIRPG	1	0	0	2	0	6	2	4	8	8
SIRT1	5187	6097	4237	4754	12594	12997	11793	13088	13587	13587
SIRT2	4312	5110	11189	11710	3955	4116	1121	1189	1125	1125
SIRT3	2557	3020	3291	3284	5972	6192	2492	2621	2291	2291
SIRT4	523	484	170	138	739	742	199	277	141	141
SIRT5	2095	2537	1990	2100	3607	3789	3481	3549	2651	2651
SIRT6	2836	2922	3112	3180	2910	2914	2315	2520	2817	2817
SIRT7	8162	8878	2804	2662	1760	1733	2834	2779	2115	2115
SIT1	8	22	0	0	121	107	287	388	171	171
SIVA1	7811	8641	7080	7354	11021	11517	15151	14978	13610	13610
SIX1	28	18	47	79	70	62	172	192	116	116
SIX2	59	75	11	23	70	102	157	218	412	412
SIX3	2	1	0	1	101848	106144	48	35	596	596
SIX3-AS1	0	0	0	0	2487	2504	0	0	12	12
SIX4	4714	5473	3154	3210	11193	12094	11640	12707	8780	8780
SIX5	1305	1462	1586	1532	4234	4210	1145	1177	1915	1915
SIX6	4	0	3	0	647	673	71	86	16	16
SKA1	3345	4168	1142	1186	7502	7968	4549	5479	14687	14687
SKA2	14233	17599	12132	12930	45496	48163	11024	12371	24533	24533
SKA2P1	2950	3902	2379	2401	7460	7542	2643	3126	5129	5129
SKA3	5312	6633	972	1091	11173	10980	15394	17817	27144	27144
SKAP1	0	1	14	19	22	25	8	13	2	2
SKAP2	2190	2345	5453	5783	821	922	1621	1810	1417	1417
SKI	53880	63341	39976	40140	38082	38518	29628	32324	43115	43115
SKIDA1	18774	20879	1953	1910	59883	61887	1589	1567	1990	1990
SKIL	48509	55003	21708	22600	4489	4696	51817	55509	54511	54511
SKINTL	1	4	1	0	20	27	8	7	3	3
SKIV2L	6867	7749	5379	5203	5438	5460	4556	4342	5225	5225
SKIV2L2	8463	9719	6896	7236	13198	13212	9900	11131	16988	16988
SKOR1	50	62	46	47	164	157	31	20	56	56
SKOR2	0	1	0	0	9	20	43	27	28	28
SKP1	31633	37219	36628	38268	48095	47671	25164	29009	46904	46904
SKP1P1	10919	12587	13113	13318	16058	15969	9367	10564	15177	15177
SKP2	37389	42344	10926	11703	33045	35133	16561	18672	60287	60287
SLA	1952	2104	3724	3879	4	0	383	425	296	296
SLA2	14	20	0	4	35	33	33	16	34	34
SLAIN1	570	606	18	25	15366	15847	5860	6228	4253	4253
SLAIN2	19801	23217	19710	20380	20780	21851	7124	8590	11688	11688
SLAMF1	5	2	73	77	0	0	3	6	70	70
SLAMF6	0	0	0	0	0	0	0	4	8	8
SLAMF6P1	0	1	0	0	0	0	1	0	0	0
SLAMF7	51	48	2	0	0	0	0	8	16	16
SLAMF8	150	160	9	12	0	0	2	0	5	5
SLAMF9	3	7	2	0	0	3	0	0	2	2
SLBP	6609	7606	10493	11191	11413	11654	6692	7175	10291	10291
SLC10A1	29	45	8	1	8	4	56	27	23	23
SLC10A2	0	0	0	2	0	0	4	3	0	0
SLC10A3	10113	11234	9988	9971	1813	1856	2495	2902	3258	3258
SLC10A4	95	98	5	10	203	154	1266	1552	403	403
SLC10A5	70	95	71	61	93	132	99	142	156	156
SLC10A5P1	0	1	0	0	0	0	0	0	0	0
SLC10A6	10	6	0	5	4	3	1	4	9	9
SLC10A7	2306	2670	3901	3912	2347	2357	1030	1016	1456	1456
SLC11A1	79	73	68	63	44	52	31	47	27	27
SLC11A2	15920	17684	10328	10655	16426	17101	21294	25114	13620	13620
SLC12A1	6	8	8	0	55	46	369	336	305	305
SLC12A2	8526	10336	5783	5992	5132	5509	7237	7442	5974	5974
SLC12A3	59	68	1	2	1	0	8	9	4	4
SLC12A4	15853	17855	12292	12263	10081	9872	7293	8078	5116	5116
SLC12A5	794	937	212	238	419	364	387	398	652	652
SLC12A6	2402	2845	2340	2251	3851	3915	3271	3360	1916	1916
SLC12A7	3403	4061	15237	15396	17087	17233	13384	14189	5781	5781
SLC12A8	776	792	22553	22710	762	834	2901	3394	3691	3691
SLC12A9	7025	7223	7015	6957	3512	3651	10696	11593	6906	6906
SLC13A1	6	0	4	0	0	0	1	1	1	1
SLC13A2	0	0	0	0	2	0	0	0	0	0
SLC13A3	832	848	159	212	3630	3775	2689	3148	1579	1579
SLC13A4	66193	69585	178	190	1615	1757	1332	1420	560	560
SLC13A5	1375	1427	2	3	151	144	1430	1376	196	196
SLC14A1	2	4	521	586	0	0	32	31	22	22
SLC14A2	183	200	0	2	14	21	24	41	42	42
SLC15A1	544	749	1	1	7	6	900	1019	149	149
SLC15A2	149	183	32	22	281	309	736	823	154	154
SLC15A3	179	249	3138	3071	4081	4226	3411	3772	1017	1017
SLC15A4	4213	4912	8077	8473	3910	4104	7002	8234	6129	6129
SLC15A5	1	2	0	0	5	14	20	1	1	1
SLC16A1	77094	88592	23451	24014	57954	60162	300812	312647	137738	137738
SLC16A10	1105	1510	7	4	1457	1597	9391	11267	2018	2018
SLC16A11	382	320	128	140	47	58	235	233	26	26
SLC16A12	75	60	420	509	38	44	1162	1366	470	470
SLC16A13	6131	6526	2675	2531	1238	1383	1684	2041	1743	1743
SLC16A14	67	81	1359	1364	10514	10871	930	1360	395	395
SLC16A14P1	0	1	2	2	28	12	1	2	3	3
SLC16A1P1	0	0	1	0	0	2	0	1	0	0
SLC16A2	3661	4723	11548	11273	16035	16162	19378	23604	8306	8306
SLC16A3	16166	17941	35340	34334	739	888	2372	2538	493	493
SLC16A4	1150	1322	4013	4465	905	1115	595	535	199	199
SLC16A5	5454	6519	4460	4384	2996	3177	6494	6895	5130	5130
SLC16A6	5004	5480	27544	28191	37	41	64	45	142	142
SLC16A6P1	102	116	185	193	28	35	76	76	66	66
SLC16A7	204	184	2031	2042	1317	1353	1200	1440	1385	1385
SLC16A8	63	100	42	40	399	374	90	105	59	59
SLC16A9	4547	5336	75	78	19161	19889	3387	4398	3449	3449
SLC17A1	0	3	0	0	0	0	0	0	0	0
SLC17A2	50	61	0	0	0	0	0	0	0	0
SLC17A3	1	0	0	4	7	3	4	0	2	2
SLC17A4	24	31	0	0	0	0	0	0	4	4
SLC17A5	4798	5339	35578	37238	4714	4750	5256	7140	2463	2463
SLC17A6	0	2	0	0	0	0	286	410	21	21
SLC17A7	53	93	317	331	1347	1185	1314	1640	248	248
SLC17A8	1098	1331	0	0	0	2	55	107	17	17
SLC17A9	524	571	5131	4992	620	609	11804	13010	4836	4836
SLC18A1	2	0	0	0	2	0	0	2	0	0
SLC18A2	1392	1653	2328	2547	2612	2651	6518	7141	2607	2607
SLC18A3	1456	1313	0	0	30	26	18	8	10	10
SLC18B1	3018	3331	3544	3917	2385	2705	8673	11011	4834	4834
SLC19A1	36853	38972	4830	4339	8590	8127	15401	17197	12654	12654
SLC19A2	15131	16980	4180	4521	8651	8997	11793	16549	11446	11446
SLC19A3	2726	3257	23	7	390	408	4458	4847	1541	1541
SLC1A1	264	416	2092	2361	2171	2441	3424	4706	4407	4407
SLC1A2	782	884	218	161	2020	2078	482	512	653	653
SLC1A3	23516	26066	2	20	3538	3925	8030	8243	3324	3324
SLC1A4	418	444	10991	11075	3024	3169	281	275	545	545
SLC1A5	44577	49939	65346	63764	24311	25571	100660	113022	83858	83858
SLC1A6	5033	5482	0	0	6631	7107	1920	2046	1699	1699
SLC1A7	4	21	962	953	2	6	9	10	8	8
SLC20A1	9604	10970	54931	55771	18717	19485	37756	45217	33337	33337
SLC20A1P1	0	0	0	0	0	0	0	0	0	0
SLC20A1P2	0	0	0	0	0	0	0	0	0	0
SLC20A1P3	0	0	0	0	0	0	0	0	0	0
SLC20A2	34039	38887	12984	13485	9699	9930	11621	14000	13494	13494
SLC22A1	74	70	109	106	19	25	36	29	107	107
SLC22A10	0	0	0	0	3	0	12	0	2	2
SLC22A11	10685	11581	0	0	40	36	29	35	25	25
SLC22A12	1	5	0	0	4	2	0	0	0	0
SLC22A13	20	10	23	18	17	4	25	20	7	7
SLC22A14	27	63	7	9	9	10	13	3	2	2
SLC22A15	1142	1334	1148	1222	68	105	1137	1271	1292	1292
SLC22A16	36	38	0	0	0	0	1	0	4	4
SLC22A17	8361	9403	10476	10602	21083	20794	10600	12114	4681	4681
SLC22A18	1728	1890	7496	7638	1319	1231	1525	1519	249	249
SLC22A18AS	73	94	286	261	64	64	26	18	18	18
SLC22A2	29	23	0	3	4	8	237	257	805	805
SLC22A20	150	132	57	57	129	138	2605	2846	554	554
SLC22A23	18423	20961	92	77	3406	3536	16967	20422	7176	7176
SLC22A24	0	2	0	0	0	0	2	1	0	0
SLC22A25	0	7	0	0	0	0	0	0	0	0
SLC22A3	75	97	11	10	99	83	568	813	4873	4873
SLC22A31	425	458	262	240	246	264	1652	1585	571	571
SLC22A4	111	110	560	658	42	35	54	55	65	65
SLC22A5	2867	3484	814	818	1549	1565	1444	1395	538	538
SLC22A6	0	0	0	3	1	2	4	0	2	2
SLC22A7	2	9	0	0	250	337	106	127	22	22
SLC22A8	0	0	0	1	0	1	4	0	0	0
SLC22A9	0	0	0	0	5	0	21	3	8	8
SLC23A1	144	171	49	48	185	214	235	169	133	133
SLC23A2	10880	12591	12896	12630	7131	7084	12735	15084	9588	9588
SLC23A3	163	221	201	140	47	60	63	96	53	53
SLC24A1	4763	5802	3398	3500	3226	2984	3131	3419	2577	2577
SLC24A2	4	24	12	2	127	187	4746	5176	129	129
SLC24A3	224	206	50	88	168	157	1283	1572	401	401
SLC24A4	81	91	19	31	32	38	74	84	59	59
SLC24A5	24	57	34	44	1568	1665	745	645	411	411
SLC25A1	18297	21288	27185	27411	18662	18271	18165	19379	19327	19327
SLC25A10	1732	1935	901	827	2607	2694	3063	3481	2423	2423
SLC25A11	7216	8391	8380	8717	11000	10540	8396	9560	10256	10256
SLC25A12	701	776	4863	4832	458	549	1181	1325	1577	1577
SLC25A13	7288	8532	6761	7303	11845	11915	11394	11970	22965	22965
